date,Fund_A,Fund_B,Fund_C
2016-12-08,23613359,710537953,378841249
2016-12-09,23675059,710537953,381309924
2016-12-12,23839932,710537953,379351750
2016-12-13,23929817,710537953,387243841
2016-12-14,23950506,710537953,384750431
2016-12-15,24390215,710537953,385027146
2016-12-16,24945238,710537953,384042644
2016-12-19,24898878,710537953,385624133
2016-12-20,25139887,710537953,388268917
2016-12-21,25243274,710537953,388886857
2016-12-22,25526637,710537953,387096962
2016-12-23,25804749,710537953,389754822
2016-12-26,25804749,710537953,389754822
2016-12-27,25833003,710537953,392442812
2016-12-28,26058230,710537953,392694619
2016-12-29,26199180,710537953,393424452
2016-12-30,26199180,725298788,391478585
2017-01-02,26609963,725298788,391478585
2017-01-03,27004207,725298788,395628855
2017-01-04,27426191,725298788,402055306
2017-01-05,27426191,725298788,408150822
2017-01-06,27426191,725298788,411704276
2017-01-09,27583242,725298788,412965372
2017-01-10,27814082,725298788,416175558
2017-01-11,28089993,725298788,417626427
2017-01-12,28111481,725298788,419115138
2017-01-13,28334159,725298788,421456227
2017-01-16,28375152,725298788,421456227
2017-01-17,28590077,725298788,423308275
2017-01-18,29120033,725298788,425028912
2017-01-19,29287618,725298788,433776176
2017-01-20,29646535,725298788,436152028
2017-01-23,30276465,725298788,436978421
2017-01-24,30276465,725298788,439771247
2017-01-25,30276465,725298788,444275754
2017-01-26,31159833,725298788,444831550
2017-01-27,31225601,725298788,446831749
2017-01-30,31354963,725298788,445596783
2017-01-31,31806640,733982688.579457,447751652
2017-02-01,32171358,733982688.579457,449438083
2017-02-02,32331819,733982688.579457,449381228
2017-02-03,32693780,733982688.579457,452815248
2017-02-06,33153817,733982688.579457,452682415
2017-02-07,33280944,733982688.579457,453156879
2017-02-08,33542138,733982688.579457,452026504
2017-02-09,34219788,733982688.579457,455747151
2017-02-10,34879095,733982688.579457,456848224
2017-02-13,34957869,733982688.579457,460950895
2017-02-14,35490684,733982688.579457,462891751
2017-02-15,35741595,733982688.579457,467646300
2017-02-16,36104929,733982688.579457,466475879
2017-02-17,36299620,733982688.579457,466332770
2017-02-20,36522029,733982688.579457,466332770
2017-02-21,36806027,733982688.579457,468618649
2017-02-22,36803040,733982688.579457,468961713
2017-02-23,36915129,733982688.579457,469565381
2017-02-24,37077931,733982688.579457,473809904
2017-02-27,37214638,733982688.579457,476392059
2017-02-28,37323514,733117422.779963,474715094
2017-03-01,37877387,733117422.779963,480470174
2017-03-02,37972991,733117422.779963,480005483
2017-03-03,38266933,733117422.779963,497876170
2017-03-06,38325814,733117422.779963,499078712
2017-03-07,38392063,733117422.779963,498719049
2017-03-08,38294996,733117422.779963,499972368
2017-03-09,38540604,733117422.779963,517930677
2017-03-10,38684692,733117422.779963,521471387
2017-03-13,38936434,733117422.779963,524057093
2017-03-14,39057488,733117422.779963,518753729
2017-03-15,39194756,733117422.779963,527444915
2017-03-16,39024527,733117422.779963,527962922
2017-03-17,39144084,733117422.779963,529088842
2017-03-20,39495091,733117422.779963,528894850
2017-03-21,40045928,733117422.779963,524901713
2017-03-22,40194404,733117422.779963,529940532
2017-03-23,40599313,733117422.779963,534616367
2017-03-24,40736077,733117422.779963,534796687
2017-03-27,40972294,733117422.779963,536950959
2017-03-28,41444527,733117422.779963,540017250
2017-03-29,41857514,733117422.779963,541442682
2017-03-30,42508016,733117422.779963,542561828
2017-03-31,43629195,732108927.55468,543462750
2017-04-03,44756591,732108927.55468,543864121
2017-04-04,45206781,732108927.55468,544234551
2017-04-05,45640292,732108927.55468,542120649
2017-04-06,46539940,732108927.55468,545227684
2017-04-07,47720576,732108927.55468,543452144
2017-04-10,48068914,732108927.55468,544369185
2017-04-11,48390079,732108927.55468,543621797
2017-04-12,48707398,732108927.55468,542095782
2017-04-13,48752035,732108927.55468,541346861
2017-04-14,48752035,732108927.55468,541346861
2017-04-17,48752035,732108927.55468,546435076
